pruid,prename,report_date,numtotal_all_administered,as_of_date,updated
1,Canada,2021-01-12,267078,2021-01-12,1
35,Ontario,2021-01-12,122105,2021-01-10,1
59,British Columbia,2021-01-12,59902,2021-01-11,1
48,Alberta,2021-01-12,46791,2021-01-10,1
47,Saskatchewan,2021-01-12,8948,2021-01-11,1
12,Nova Scotia,2021-01-12,2720,2021-01-05,1
46,Manitoba,2021-01-12,10353,2021-01-11,1
13,New Brunswick,2021-01-12,7732,2021-01-11,1
10,Newfoundland and Labrador,2021-01-12,3760,2021-01-06,1
11,Prince Edward Island,2021-01-12,4226,2021-01-11,1
61,Northwest Territories,2021-01-12,512,2021-01-11,1
62,Nunavut,2021-01-12,29,2021-01-06,1
1,Canada,2021-01-13,288488,2021-01-13,1
35,Ontario,2021-01-13,133553,2021-01-11,1
59,British Columbia,2021-01-13,62294,2021-01-12,1
48,Alberta,2021-01-13,52318,2021-01-11,1
47,Saskatchewan,2021-01-13,9880,2021-01-12,1
12,Nova Scotia,2021-01-13,3831,2021-01-09,1
46,Manitoba,2021-01-13,10353,2021-01-11,0
13,New Brunswick,2021-01-13,7732,2021-01-11,0
10,Newfoundland and Labrador,2021-01-13,3760,2021-01-06,0
11,Prince Edward Island,2021-01-13,4226,2021-01-11,0
61,Northwest Territories,2021-01-13,512,2021-01-11,0
62,Nunavut,2021-01-13,29,2021-01-06,0
1,Canada,2021-01-14,310788,2021-01-14,1
35,Ontario,2021-01-14,144784,2021-01-12,1
59,British Columbia,2021-01-14,63430,2021-01-13,1
48,Alberta,2021-01-14,58144,2021-01-12,1
47,Saskatchewan,2021-01-14,10400,2021-01-13,1
12,Nova Scotia,2021-01-14,3831,2021-01-09,0
46,Manitoba,2021-01-14,12409,2021-01-12,1
13,New Brunswick,2021-01-14,7732,2021-01-11,0
10,Newfoundland and Labrador,2021-01-14,5291,2021-01-13,1
11,Prince Edward Island,2021-01-14,4226,2021-01-11,0
61,Northwest Territories,2021-01-14,512,2021-01-11,0
62,Nunavut,2021-01-14,29,2021-01-06,0
1,Canada,2021-01-15,342227,2021-01-15,1
35,Ontario,2021-01-15,159021,2021-01-13,1
59,British Columbia,2021-01-15,69746,2021-01-14,1
48,Alberta,2021-01-15,66953,2021-01-13,1
47,Saskatchewan,2021-01-15,11985,2021-01-14,1
12,Nova Scotia,2021-01-15,3831,2021-01-09,0
46,Manitoba,2021-01-15,12409,2021-01-12,0
13,New Brunswick,2021-01-15,7732,2021-01-11,0
10,Newfoundland and Labrador,2021-01-15,5291,2021-01-13,0
11,Prince Edward Island,2021-01-15,4226,2021-01-11,0
61,Northwest Territories,2021-01-15,512,2021-01-11,0
62,Nunavut,2021-01-15,521,2021-01-14,1
1,Canada,2021-01-18,422864,2021-01-18,1
35,Ontario,2021-01-18,200097,2021-01-16,1
59,British Columbia,2021-01-18,75914,2021-01-17,1
48,Alberta,2021-01-18,85935,2021-01-16,1
47,Saskatchewan,2021-01-18,20159,2021-01-16,1
12,Nova Scotia,2021-01-18,7600,2021-01-16,1
46,Manitoba,2021-01-18,13539,2021-01-17,1
13,New Brunswick,2021-01-18,7732,2021-01-11,0
10,Newfoundland and Labrador,2021-01-18,5291,2021-01-13,0
11,Prince Edward Island,2021-01-18,5102,2021-01-13,1
61,Northwest Territories,2021-01-18,512,2021-01-11,0
62,Nunavut,2021-01-18,983,2021-01-17,1
1,Canada,2021-01-19,459780,2021-01-19,1
35,Ontario,2021-01-19,209788,2021-01-17,1
59,British Columbia,2021-01-19,87346,2021-01-18,1
48,Alberta,2021-01-19,89814,2021-01-17,1
47,Saskatchewan,2021-01-19,22618,2021-01-17,1
12,Nova Scotia,2021-01-19,7600,2021-01-18,1
46,Manitoba,2021-01-19,17751,2021-01-18,1
13,New Brunswick,2021-01-19,10436,2021-01-18,1
10,Newfoundland and Labrador,2021-01-19,5291,2021-01-13,0
11,Prince Edward Island,2021-01-19,5102,2021-01-13,0
61,Northwest Territories,2021-01-19,1893,2021-01-18,1
62,Nunavut,2021-01-19,2141,2021-01-18,1
1,Canada,2021-01-20,485739,2021-01-20,1
35,Ontario,2021-01-20,224134,2021-01-18,1
59,British Columbia,2021-01-20,92369,2021-01-19,1
48,Alberta,2021-01-20,92315,2021-01-18,1
47,Saskatchewan,2021-01-20,24575,2021-01-18,1
12,Nova Scotia,2021-01-20,8520,2021-01-19,1
46,Manitoba,2021-01-20,17751,2021-01-18,0
13,New Brunswick,2021-01-20,10436,2021-01-18,0
10,Newfoundland and Labrador,2021-01-20,5291,2021-01-13,0
11,Prince Edward Island,2021-01-20,5910,2021-01-19,1
61,Northwest Territories,2021-01-20,1893,2021-01-18,0
62,Nunavut,2021-01-20,2545,2021-01-19,1
1,Canada,2021-01-21,706464,2021-01-21,1
24,Quebec,2021-01-21,183912,2021-01-21,1
35,Ontario,2021-01-21,237918,2021-01-19,1
59,British Columbia,2021-01-21,98125,2021-01-20,1
48,Alberta,2021-01-21,95243,2021-01-19,1
47,Saskatchewan,2021-01-21,27233,2021-01-19,1
12,Nova Scotia,2021-01-21,9175,2021-01-20,1
46,Manitoba,2021-01-21,22365,2021-01-20,1
13,New Brunswick,2021-01-21,10436,2021-01-18,0
10,Newfoundland and Labrador,2021-01-21,8549,2021-01-19,1
11,Prince Edward Island,2021-01-21,5910,2021-01-19,0
61,Northwest Territories,2021-01-21,1893,2021-01-18,0
62,Nunavut,2021-01-21,2545,2021-01-19,0
60,Yukon,2021-01-21,3160,2021-01-20,1
99,Canadian Armed Forces,2021-01-21,759,2021-01-21,1
1,Canada,2021-01-22,752377,2021-01-22,1
24,Quebec,2021-01-22,183912,2021-01-21,0
35,Ontario,2021-01-22,264985,2021-01-21,1
59,British Columbia,2021-01-22,104901,2021-01-21,1
48,Alberta,2021-01-22,96506,2021-01-20,1
47,Saskatchewan,2021-01-22,31275,2021-01-21,1
12,Nova Scotia,2021-01-22,10575,2021-01-22,1
46,Manitoba,2021-01-22,25838,2021-01-22,1
13,New Brunswick,2021-01-22,10436,2021-01-18,0
10,Newfoundland and Labrador,2021-01-22,8549,2021-01-19,0
11,Prince Edward Island,2021-01-22,6525,2021-01-20,1
61,Northwest Territories,2021-01-22,1893,2021-01-18,0
62,Nunavut,2021-01-22,3822,2021-01-22,1
60,Yukon,2021-01-22,3160,2021-01-20,0
99,Canadian Armed Forces,2021-01-22,759,2021-01-21,0
1,Canada,2021-01-25,802354,2021-01-25,1
24,Quebec,2021-01-25,183912,2021-01-21,0
35,Ontario,2021-01-25,286110,2021-01-24,1
59,British Columbia,2021-01-25,119850,2021-01-25,1
48,Alberta,2021-01-25,99453,2021-01-24,1
47,Saskatchewan,2021-01-25,33353,2021-01-24,1
12,Nova Scotia,2021-01-25,11083,2021-01-25,1
46,Manitoba,2021-01-25,29751,2021-01-25,1
13,New Brunswick,2021-01-25,14257,2021-01-24,1
10,Newfoundland and Labrador,2021-01-25,8549,2021-01-19,0
11,Prince Edward Island,2021-01-25,6525,2021-01-20,0
61,Northwest Territories,2021-01-25,1893,2021-01-18,0
62,Nunavut,2021-01-25,4458,2021-01-25,1
60,Yukon,2021-01-25,3160,2021-01-20,0
99,Canadian Armed Forces,2021-01-25,961,2021-01-25,1
1,Canada,2021-01-26,827042,2021-01-26,1
24,Quebec,2021-01-26,183912,2021-01-21,0
35,Ontario,2021-01-26,295817,2021-01-25,1
59,British Columbia,2021-01-26,122359,2021-01-26,1
48,Alberta,2021-01-26,99814,2021-01-25,1
47,Saskatchewan,2021-01-26,34080,2021-01-25,1
12,Nova Scotia,2021-01-26,11622,2021-01-26,1
46,Manitoba,2021-01-26,31369,2021-01-26,1
13,New Brunswick,2021-01-26,14257,2021-01-24,0
10,Newfoundland and Labrador,2021-01-26,8549,2021-01-19,0
11,Prince Edward Island,2021-01-26,7117,2021-01-23,1
61,Northwest Territories,2021-01-26,9471,2021-01-25,1
62,Nunavut,2021-01-26,4723,2021-01-26,1
60,Yukon,2021-01-26,3952,2021-01-23,1
99,Canadian Armed Forces,2021-01-26,1099,2021-01-26,1
1,Canada,2021-01-27,890536,2021-01-27,1
24,Quebec,2021-01-27,229649,2021-01-26,1
35,Ontario,2021-01-27,305330,2021-01-26,1
59,British Columbia,2021-01-27,124365,2021-01-27,1
48,Alberta,2021-01-27,101123,2021-01-26,1
47,Saskatchewan,2021-01-27,34615,2021-01-26,1
12,Nova Scotia,2021-01-27,12286,2021-01-27,1
46,Manitoba,2021-01-27,33361,2021-01-27,1
13,New Brunswick,2021-01-27,14257,2021-01-24,0
10,Newfoundland and Labrador,2021-01-27,10080,2021-01-27,1
11,Prince Edward Island,2021-01-27,7117,2021-01-23,0
61,Northwest Territories,2021-01-27,9471,2021-01-25,0
62,Nunavut,2021-01-27,4930,2021-01-27,1
60,Yukon,2021-01-27,3952,2021-01-23,0
99,Canadian Armed Forces,2021-01-27,1099,2021-01-27,1
1,Canada,2021-01-28,910676,2021-01-28,1
24,Quebec,2021-01-28,229649,2021-01-26,0
35,Ontario,2021-01-28,317240,2021-01-27,1
59,British Columbia,2021-01-28,127255,2021-01-28,1
48,Alberta,2021-01-28,102524,2021-01-27,1
47,Saskatchewan,2021-01-28,34672,2021-01-27,1
12,Nova Scotia,2021-01-28,13504,2021-01-28,1
46,Manitoba,2021-01-28,35338,2021-01-28,1
13,New Brunswick,2021-01-28,14257,2021-01-24,0
10,Newfoundland and Labrador,2021-01-28,10080,2021-01-27,0
11,Prince Edward Island,2021-01-28,7510,2021-01-27,1
61,Northwest Territories,2021-01-28,9471,2021-01-25,0
62,Nunavut,2021-01-28,5224,2021-01-28,1
60,Yukon,2021-01-28,3952,2021-01-23,0
99,Canadian Armed Forces,2021-01-28,1099,2021-01-27,0
1,Canada,2021-01-29,937338,2021-01-29,1
24,Quebec,2021-01-29,236726,2021-01-28,1
35,Ontario,2021-01-29,327455,2021-01-28,1
59,British Columbia,2021-01-29,129241,2021-01-29,1
48,Alberta,2021-01-29,104327,2021-01-28,1
47,Saskatchewan,2021-01-29,35091,2021-01-28,1
12,Nova Scotia,2021-01-29,14589,2021-01-29,1
46,Manitoba,2021-01-29,37309,2021-01-29,1
13,New Brunswick,2021-01-29,14257,2021-01-24,0
10,Newfoundland and Labrador,2021-01-29,10080,2021-01-27,0
11,Prince Edward Island,2021-01-29,7510,2021-01-27,0
61,Northwest Territories,2021-01-29,9471,2021-01-25,0
62,Nunavut,2021-01-29,5316,2021-01-29,1
60,Yukon,2021-01-29,5966,2021-01-27,1
99,Canadian Armed Forces,2021-01-29,1099,2021-01-27,0
24,Quebec,2021-02-01,239613,2021-01-30,1
35,Ontario,2021-02-01,341900,2021-01-31,1
48,Alberta,2021-02-01,106347,2021-01-31,1
47,Saskatchewan,2021-02-01,35447,2021-01-31,1
13,New Brunswick,2021-02-01,17277,2021-01-31,1
10,Newfoundland and Labrador,2021-02-01,10080,2021-01-27,0
11,Prince Edward Island,2021-02-01,7510,2021-01-27,0
61,Northwest Territories,2021-02-01,9471,2021-01-25,0
60,Yukon,2021-02-01,5966,2021-01-27,0
99,Canadian Armed Forces,2021-02-01,1099,2021-01-27,0
24,Quebec,2021-02-02,239613,2021-01-30,0
48,Alberta,2021-02-02,106347,2021-01-31,0
13,New Brunswick,2021-02-02,17277,2021-01-31,0
10,Newfoundland and Labrador,2021-02-02,10080,2021-01-27,0
11,Prince Edward Island,2021-02-02,7856,2021-01-30,1
60,Yukon,2021-02-02,7358,2021-01-30,1
99,Canadian Armed Forces,2021-02-02,1099,2021-01-27,0
